Date,Store,Product,ProductType,Forecast,OpeningStock,Production,AvailableForSale,Sales,ClosingStock,Loss,ForecastError,ForecastAbsoluteError,SellThroughRate,InventoryStatus,StockoutFlag,LossFlag,ProductionMethod,IsEventDay,EventName,PromotionType,PromotionTarget,SalesSource
2026-05-03,Shop_B,リッチシュー,regular,14,0,16,16,16,0,0,-2,2,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-03,Shop_B,季節シュー,seasonal,12,1,12,13,11,2,0,1,1,0.8462,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-03,Shop_C,エクレア,regular,15,0,17,17,17,0,0,-2,2,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-03,Shop_C,シュー,regular,41,6,40,46,39,7,0,2,2,0.8478,Stock remaining,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-03,Shop_C,パール,regular,14,2,14,16,11,5,0,3,3,0.6875,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-03,Shop_C,プリン,regular,16,1,17,18,14,4,0,2,2,0.7778,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-03,Shop_C,リッチエクレア,regular,13,1,14,15,14,1,0,-1,1,0.9333,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-03,Shop_C,リッチシュー,regular,24,4,23,27,21,6,0,3,3,0.7778,Stock remaining,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-03,Shop_C,季節シュー,seasonal,16,0,18,18,18,0,0,-2,2,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-04,Shop_A,エクレア,regular,16,2,16,18,12,6,0,4,4,0.6667,Stock remaining,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-04,Shop_A,シュー,regular,32,5,31,36,30,6,0,2,2,0.8333,Stock remaining,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-04,Shop_A,パール,regular,11,1,11,12,11,1,0,0,0,0.9167,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-04,Shop_A,プリン,regular,11,1,11,12,12,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-04,Shop_A,リッチエクレア,regular,9,3,7,10,8,2,0,1,1,0.8,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-04,Shop_A,リッチシュー,regular,17,0,19,19,18,1,0,-1,1,0.9474,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-04,Shop_A,季節シュー,seasonal,11,2,10,12,12,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-04,Shop_B,エクレア,regular,10,1,10,11,11,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-04,Shop_B,シュー,regular,24,5,22,27,24,3,0,0,0,0.8889,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-04,Shop_B,パール,regular,11,1,11,12,11,1,0,0,0,0.9167,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-04,Shop_B,プリン,regular,8,0,9,9,6,3,0,2,2,0.6667,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-04,Shop_B,リッチエクレア,regular,5,1,5,5,5,0,1,0,0,1.0,Sold out,True,True,Previous-day preparation,False,None,None,None,inventory
2026-05-04,Shop_B,リッチシュー,regular,13,0,15,15,11,4,0,2,2,0.7333,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-04,Shop_B,季節シュー,seasonal,10,2,9,11,9,2,0,1,1,0.8182,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-04,Shop_C,エクレア,regular,14,0,16,16,13,3,0,1,1,0.8125,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-04,Shop_C,シュー,regular,34,7,31,38,36,2,0,-2,2,0.9474,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-04,Shop_C,パール,regular,10,5,6,10,10,0,1,0,0,1.0,Sold out,True,True,Previous-day preparation,False,None,None,None,inventory
2026-05-04,Shop_C,プリン,regular,12,4,9,13,9,4,0,3,3,0.6923,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-04,Shop_C,リッチエクレア,regular,9,1,9,10,10,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-04,Shop_C,リッチシュー,regular,19,6,15,21,18,3,0,1,1,0.8571,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-04,Shop_C,季節シュー,seasonal,15,0,17,17,14,3,0,1,1,0.8235,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-05,Shop_A,エクレア,regular,12,6,7,13,10,3,0,2,2,0.7692,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-05,Shop_A,シュー,regular,32,6,30,36,28,8,0,4,4,0.7778,Stock remaining,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-05,Shop_A,パール,regular,8,1,8,9,7,2,0,1,1,0.7778,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-05,Shop_A,プリン,regular,13,0,15,15,10,5,0,3,3,0.6667,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-05,Shop_A,リッチエクレア,regular,10,2,9,11,9,2,0,1,1,0.8182,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-05,Shop_A,リッチシュー,regular,17,1,18,19,15,4,0,2,2,0.7895,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-05,Shop_A,季節シュー,seasonal,12,0,13,13,11,2,0,1,1,0.8462,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-05,Shop_B,エクレア,regular,8,0,9,9,7,2,0,1,1,0.7778,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-05,Shop_B,シュー,regular,24,3,24,27,25,2,0,-1,1,0.9259,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-05,Shop_B,パール,regular,7,1,7,8,8,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-05,Shop_B,プリン,regular,8,3,6,8,8,0,1,0,0,1.0,Sold out,True,True,Previous-day preparation,False,None,None,None,inventory
2026-05-05,Shop_B,リッチエクレア,regular,6,0,7,7,7,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-05,Shop_B,リッチシュー,regular,16,4,14,18,9,9,0,7,7,0.5,Stock remaining,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-05,Shop_B,季節シュー,seasonal,10,2,9,11,8,3,0,2,2,0.7273,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-05,Shop_C,エクレア,regular,16,3,15,18,15,3,0,1,1,0.8333,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-05,Shop_C,シュー,regular,37,2,39,41,35,6,0,2,2,0.8537,Stock remaining,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-05,Shop_C,パール,regular,12,0,13,13,9,4,0,3,3,0.6923,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-05,Shop_C,プリン,regular,12,4,9,13,12,1,0,0,0,0.9231,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-05,Shop_C,リッチエクレア,regular,9,0,10,10,10,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-05,Shop_C,リッチシュー,regular,20,3,19,22,18,4,0,2,2,0.8182,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-05,Shop_C,季節シュー,seasonal,13,3,12,15,10,5,0,3,3,0.6667,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-06,Shop_A,エクレア,regular,11,3,9,12,12,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-06,Shop_A,シュー,regular,30,8,26,34,32,2,0,-2,2,0.9412,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-06,Shop_A,パール,regular,8,2,7,9,9,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-06,Shop_A,プリン,regular,10,5,6,11,11,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-06,Shop_A,リッチエクレア,regular,11,2,10,12,8,4,0,3,3,0.6667,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-06,Shop_A,リッチシュー,regular,16,4,14,18,15,3,0,1,1,0.8333,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-06,Shop_A,季節シュー,seasonal,12,2,11,13,12,1,0,0,0,0.9231,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-06,Shop_B,エクレア,regular,10,2,9,11,6,5,0,4,4,0.5455,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-06,Shop_B,シュー,regular,22,2,23,25,24,1,0,-2,2,0.96,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-06,Shop_B,パール,regular,6,0,7,7,7,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-06,Shop_B,プリン,regular,10,0,11,11,7,4,0,3,3,0.6364,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-06,Shop_B,リッチエクレア,regular,10,0,11,11,4,7,0,6,6,0.3636,Stock remaining,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-06,Shop_B,リッチシュー,regular,15,9,8,17,15,2,0,0,0,0.8824,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-06,Shop_B,季節シュー,seasonal,11,3,9,11,10,1,1,1,1,0.9091,Low closing stock,False,True,Previous-day preparation,False,None,None,None,inventory
2026-05-06,Shop_C,エクレア,regular,12,3,10,13,13,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-06,Shop_C,シュー,regular,33,6,31,37,33,4,0,0,0,0.8919,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-06,Shop_C,パール,regular,10,4,7,11,11,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-06,Shop_C,プリン,regular,11,1,11,12,12,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-06,Shop_C,リッチエクレア,regular,10,0,11,11,10,1,0,0,0,0.9091,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-06,Shop_C,リッチシュー,regular,17,4,15,19,19,0,0,-2,2,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-06,Shop_C,季節シュー,seasonal,13,5,10,15,15,0,0,-2,2,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-07,Shop_A,エクレア,regular,12,0,13,13,13,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-07,Shop_A,シュー,regular,29,2,30,32,28,4,0,1,1,0.875,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-07,Shop_A,パール,regular,12,0,13,13,7,6,0,5,5,0.5385,Stock remaining,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-07,Shop_A,プリン,regular,12,0,13,13,11,2,0,1,1,0.8462,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-07,Shop_A,リッチエクレア,regular,7,4,4,8,8,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-07,Shop_A,リッチシュー,regular,15,3,14,17,16,1,0,-1,1,0.9412,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-07,Shop_A,季節シュー,seasonal,11,1,11,12,8,4,0,3,3,0.6667,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-07,Shop_B,エクレア,regular,11,5,7,12,6,6,0,5,5,0.5,Stock remaining,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-07,Shop_B,シュー,regular,22,1,24,25,25,0,0,-3,3,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-07,Shop_B,パール,regular,9,0,10,10,8,2,0,1,1,0.8,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-07,Shop_B,プリン,regular,8,4,5,8,8,0,1,0,0,1.0,Sold out,True,True,Previous-day preparation,False,None,None,None,inventory
2026-05-07,Shop_B,リッチエクレア,regular,11,7,5,12,9,3,0,2,2,0.75,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-07,Shop_B,リッチシュー,regular,13,2,13,15,13,2,0,0,0,0.8667,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-07,Shop_B,季節シュー,seasonal,10,1,10,11,11,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-07,Shop_C,エクレア,regular,14,0,16,16,14,2,0,0,0,0.875,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-07,Shop_C,シュー,regular,34,4,34,38,35,3,0,-1,1,0.9211,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-07,Shop_C,パール,regular,11,0,12,12,8,4,0,3,3,0.6667,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-07,Shop_C,プリン,regular,11,0,12,12,12,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-07,Shop_C,リッチエクレア,regular,9,1,9,10,5,5,0,4,4,0.5,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-07,Shop_C,リッチシュー,regular,18,0,20,20,16,4,0,2,2,0.8,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-07,Shop_C,季節シュー,seasonal,13,0,15,15,14,1,0,-1,1,0.9333,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-08,Shop_A,エクレア,regular,13,0,15,15,11,4,0,2,2,0.7333,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-08,Shop_A,シュー,regular,30,4,30,34,27,7,0,3,3,0.7941,Stock remaining,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-08,Shop_A,パール,regular,9,6,4,10,9,1,0,0,0,0.9,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-08,Shop_A,プリン,regular,9,2,8,10,10,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-08,Shop_A,リッチエクレア,regular,10,0,11,11,7,4,0,3,3,0.6364,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-08,Shop_A,リッチシュー,regular,17,1,18,19,15,4,0,2,2,0.7895,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-08,Shop_A,季節シュー,seasonal,10,4,7,11,8,3,0,2,2,0.7273,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-08,Shop_B,エクレア,regular,11,6,6,12,12,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-08,Shop_B,シュー,regular,21,0,24,24,24,0,0,-3,3,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-08,Shop_B,パール,regular,9,2,8,10,5,5,0,4,4,0.5,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-08,Shop_B,プリン,regular,11,0,12,12,8,4,0,3,3,0.6667,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-08,Shop_B,リッチエクレア,regular,8,3,6,9,8,1,0,0,0,0.8889,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-08,Shop_B,リッチシュー,regular,13,2,13,15,14,1,0,-1,1,0.9333,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-08,Shop_B,季節シュー,seasonal,10,0,11,11,9,2,0,1,1,0.8182,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-08,Shop_C,エクレア,regular,16,2,16,18,12,6,0,4,4,0.6667,Stock remaining,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-08,Shop_C,シュー,regular,32,3,33,36,30,6,0,2,2,0.8333,Stock remaining,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-08,Shop_C,パール,regular,10,4,7,10,10,0,1,0,0,1.0,Sold out,True,True,Previous-day preparation,False,None,None,None,inventory
2026-05-08,Shop_C,プリン,regular,11,0,12,12,12,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-08,Shop_C,リッチエクレア,regular,12,5,8,13,10,3,0,2,2,0.7692,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-08,Shop_C,リッチシュー,regular,18,4,16,20,18,2,0,0,0,0.9,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-08,Shop_C,季節シュー,seasonal,14,1,15,16,13,3,0,1,1,0.8125,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-09,Shop_A,エクレア,regular,15,4,13,17,11,6,0,4,4,0.6471,Stock remaining,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-09,Shop_A,シュー,regular,32,7,29,36,33,3,0,-1,1,0.9167,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-09,Shop_A,パール,regular,12,1,12,13,11,2,0,1,1,0.8462,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-09,Shop_A,プリン,regular,11,0,12,12,8,4,0,3,3,0.6667,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-09,Shop_A,リッチエクレア,regular,12,4,9,13,13,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-09,Shop_A,リッチシュー,regular,18,4,16,20,17,3,0,1,1,0.85,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-09,Shop_A,季節シュー,seasonal,12,3,10,13,13,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-09,Shop_B,エクレア,regular,12,0,13,13,13,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-09,Shop_B,シュー,regular,27,0,30,30,27,3,0,0,0,0.9,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-09,Shop_B,パール,regular,7,5,3,8,8,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-09,Shop_B,プリン,regular,10,4,7,11,8,3,0,2,2,0.7273,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-09,Shop_B,リッチエクレア,regular,7,1,7,8,8,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-09,Shop_B,リッチシュー,regular,12,1,12,13,13,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-09,Shop_B,季節シュー,seasonal,13,2,13,15,12,3,0,1,1,0.8,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-09,Shop_C,エクレア,regular,17,6,13,19,15,4,0,2,2,0.7895,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-09,Shop_C,シュー,regular,38,6,37,43,38,5,0,0,0,0.8837,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-09,Shop_C,パール,regular,14,0,16,16,10,6,0,4,4,0.625,Stock remaining,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-09,Shop_C,プリン,regular,16,0,18,18,14,4,0,2,2,0.7778,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-09,Shop_C,リッチエクレア,regular,9,3,7,10,9,1,0,0,0,0.9,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-09,Shop_C,リッチシュー,regular,19,2,19,20,20,0,1,-1,1,1.0,Sold out,True,True,Previous-day preparation,False,None,None,None,inventory
2026-05-09,Shop_C,季節シュー,seasonal,13,3,12,15,8,7,0,5,5,0.5333,Stock remaining,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-10,Shop_A,エクレア,regular,13,6,9,15,12,3,0,1,1,0.8,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-10,Shop_A,シュー,regular,32,3,33,36,36,0,0,-4,4,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-10,Shop_A,パール,regular,9,2,8,10,10,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-10,Shop_A,プリン,regular,14,4,12,16,11,5,0,3,3,0.6875,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-10,Shop_A,リッチエクレア,regular,9,0,10,10,10,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-10,Shop_A,リッチシュー,regular,14,3,13,16,16,0,0,-2,2,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-10,Shop_A,季節シュー,seasonal,12,0,13,13,13,0,0,-1,1,1.0,Sold out,True,False,Previous-day preparation,False,None,None,None,inventory
2026-05-10,Shop_B,エクレア,regular,14,0,16,16,9,7,0,5,5,0.5625,Stock remaining,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-10,Shop_B,シュー,regular,26,3,26,29,27,2,0,-1,1,0.931,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-10,Shop_B,パール,regular,11,0,12,12,9,3,0,2,2,0.75,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-10,Shop_B,プリン,regular,7,3,5,8,7,1,0,0,0,0.875,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
2026-05-10,Shop_B,リッチエクレア,regular,9,0,10,10,7,3,0,2,2,0.7,Low closing stock,False,False,Previous-day preparation,False,None,None,None,inventory
